CHEMBL4085457; 0.995; C[C@H]1CC[C@H](CN1C(=O)C=C)NC1=C2C=CNC2=NC=N1
CHEMBL3689529; 0.995; FC1(F)CCN(CC11CCCN1C(=O)CC#N)C1=C2C=CNC2=NC=N1
CHEMBL3693627; 0.995; CCC(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4090883; 0.994; CN([C@@H]1CCCN(C1)C(=O)C=C)C1=C2C=CNC2=NC=N1
CHEMBL3693621; 0.994; CC(=O)N1CCCCC11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4649779; 0.994; CN(C1CCN(C1)C1=C2C=CNC2=NC=N1)C(=O)CC#N
CHEMBL4069969; 0.994; C[C@H]1CCN(C[C@@H]1NC1=C2C=CNC2=NC=N1)C(=O)C=C
CHEMBL4226571; 0.994; O=C(CC#N)N1CC[C@H](C1)N(CC1CC1)C1=C2C=CNC2=NC=N1
CHEMBL4083165; 0.994; C[C@@H]1CCN(C[C@H]1NC1=C2C=CNC2=NC=N1)C(=O)C=C
CHEMBL1630795; 0.994; CC1CCN(CC1N(C)C1=C2C=CNC2=NC=N1)C(=O)C1CCC(=O)C1
CHEMBL4287238; 0.993; CN([C@H]1CN(CC11CC1)C(=O)C1CCN(CC1)C(C)=O)C1=C2C=CNC2=NC=N1
CHEMBL4074183; 0.993; C[C@H]1C[C@H](CN(C1)C(=O)C=C)NC1=C2C=CNC2=NC=N1
CHEMBL4288323; 0.993; CN([C@H]1CN(CC11CC1)C(=O)C1CC1)C1=C2C=CNC2=NC=N1
CHEMBL3689517; 0.993; FC1(F)CN(C(=O)CC#N)C11CCCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL3693626; 0.993; CC(C)C(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4280418; 0.993; CC(C)C(=O)N1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1
CHEMBL4064018; 0.992; C=CC(=O)N1CC[C@H]2CCN([C@H]2C1)C1=C2C=CNC2=NC=N1
CHEMBL4095629; 0.992; C\\C=C\\C(=O)N1CCC[C@H](C1)NC1=C2C=CNC2=NC=N1
CHEMBL4285014; 0.992; CC(C)CC(=O)N1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1
CHEMBL3689531; 0.991; CC1CC2(CCCN2C(=O)CC#N)CN1C1=C2C=CNC2=NC=N1
CHEMBL4068357; 0.991; C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)N1CCCC1
CHEMBL3693602; 0.990; FC1(F)CCN(C(=O)CC#N)C11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL3689516; 0.989; FC1(F)CN(C(=O)CC#N)C11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4291735; 0.989; CNC(=O)CC(=O)N1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1
CHEMBL3693605; 0.989; O=C(NCCC#N)N1CCCC11CCCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL3693597; 0.989; CCNC(=O)N1CCCC11CCCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4225530; 0.989; CC(C)CC(=O)N1CC[C@H](C1)N(C)C1=C2C=CNC2=NC=N1
CHEMBL3693599; 0.988; O=C(NCC#N)N1CCCC11CCCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4283881; 0.988; CN([C@H]1CN(CC11CC1)C(=O)CNC(C)=O)C1=C2C=CNC2=NC=N1
CHEMBL4287529; 0.988; CCCCN1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1
CHEMBL2057924; 0.988; O=C(N[C@@H]1CCCN(C1)C1=C2C=CNC2=NC=N1)[C@H](NC1=CC=CC=C1)C1CC1
CHEMBL3693612; 0.987; O=C(NCCC#N)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL3689535; 0.986; CC1CCN(C(=O)CC#N)C11CN(CC1(F)F)C1=C2C=CNC2=NC=N1
CHEMBL3689520; 0.986; CN(CCC#N)C(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL3693619; 0.985; CC(C)(C)OC(=O)N1CCCCCC11CCCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4283095; 0.985; CCN1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1
CHEMBL3693608; 0.985; O=C(NCC#N)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL1630799; 0.985; CC1CCN(CC1N(C)C1=C2C=CNC2=NC=N1)C(=O)CS(C)(=O)=O
CHEMBL3693629; 0.985; C1CNC2(C1)CCN(C2)C1=C2C=CNC2=NC=N1
CHEMBL3693595; 0.984; C[C@H](OC(C)=O)C(=O)N1CCCC11CCCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4639731; 0.984; O=C(CC#N)N1CCC2(CCN(C2)C2=C3C=CNC3=NC=N2)C1
CHEMBL3693607; 0.983; COC(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL3693598; 0.983; CC(=O)OCC(=O)N1CCCC11CCCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL3693609; 0.982; CN(CC#N)C(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4225201; 0.982; CN([C@@H]1CCN(CCC#N)C1)C1=C2C=CNC2=NC=N1
CHEMBL4225197; 0.982; CCCCN1CC[C@H](C1)N(C)C1=C2C=CNC2=NC=N1
CHEMBL4292871; 0.981; CN([C@H]1CN(CC11CC1)C(=O)CN=[N+]=[N-])C1=C2C=CNC2=NC=N1
CHEMBL3693614; 0.981; COC(=O)CCC(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4225471; 0.978; CN([C@@H]1CCN(C1)C(=O)C=N[NH+]=[N-])C1=C2C=CNC2=NC=N1
CHEMBL1630793; 0.978; CC1CCN(CC1N(C)C1=C2C=CNC2=NC=N1)C(=O)C1CCN(CC2=CC=CC=C2)C1=O
CHEMBL3693613; 0.977; CCCNC(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1
CHEMBL4284136; 0.977; CN([C@H]1CN(CC11CC1)C(=S)CC#N)C1=C2C=CNC2=NC=N1
CHEMBL4285366; 0.976; CN([C@H]1CN(CC11CC1)C(=O)C1=CC=NC=C1)C1=C2C=CNC2=NC=N1
CHEMBL3693611; 0.975; O=C(N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1)C1=CC=C(C=C1)C#N
CHEMBL4290647; 0.973; CN([C@H]1CN(CC11CC1)C(=O)C1=CC=CC=C1)C1=C2C=CNC2=NC=N1
CHEMBL3693610; 0.973; O=C(N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1)C1=CC(=CC=C1)C#N
CHEMBL3693633; 0.971; O=C(CC#N)N1CCCC11CCCN(C1)C1=C2NC=NC2=NC=N1
CHEMBL2058193; 0.966; FC1=CC(Cl)=CC(NC2CCCN([C@@H]3CCCN(C3)C3=C4C=CNC4=NC=N3)C2=O)=C1
CHEMBL1630796; 0.965; CC1CCN(CC1N(C)C1=C2C=CNC2=NC=N1)C(=O)C1=CSC=C1
