ChemblID;Score;Smile;ROMol;tanimoto_maccs;dice_maccs;tanimoto_morgan;dice_morgan
CHEMBL4284023;0.997; CN(C1CN(CC11CC1)C(=O)CC#N)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac0f0>;0.8596491228070176;0.9245283018867925;0.6417910447761194;0.7818181818181819
CHEMBL3693618;0.997; O=C(CC#N)N1CCCCCC11CCCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac150>;0.8103448275862069;0.8952380952380953;0.41025641025641024;0.5818181818181818
CHEMBL4279819;0.997; CN([C@H]1CN(CC11CC1)C(=O)CC#N)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac1b0>;0.8596491228070176;0.9245283018867925;0.6417910447761194;0.7818181818181819
CHEMBL4083094;0.997; C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)C=C;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac210>;0.8928571428571429;0.9433962264150944;0.6984126984126984;0.822429906542056
CHEMBL3689536;0.997; CC1(C)CCN(C(=O)CC#N)C11CCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac270>;0.8793103448275862;0.9357798165137615;0.42857142857142855;0.6
CHEMBL3693617;0.997; O=C(N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1)C1(CC1)C#N;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac2d0>;0.7586206896551724;0.8627450980392157;0.3170731707317073;0.48148148148148145
CHEMBL4224807;0.997; CN([C@@H]1CCN(C1)C(=O)CC#N)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac330>;0.9259259259259259;0.9615384615384616;0.7833333333333333;0.8785046728971962
CHEMBL3693625;0.997; CC(=O)N1CCCC11CCCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac390>;0.8070175438596491;0.8932038834951457;0.3116883116883117;0.4752475247524752
CHEMBL4228831;0.997; CN([C@H]1CN(CC1(C)C)C(=O)CC#N)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac3f0>;0.8620689655172413;0.9259259259259259;0.6515151515151515;0.7889908256880734
CHEMBL4297507;0.997; C[C@H]1CN(C(=O)CC#N)[C@]11CCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeac450>;0.847457627118644;0.9174311926605505;0.48;0.6486486486486487
